AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
TALLAGHT-KILNAMANAGH,M50 Redcow R/Bout-N81,Main Road,48,250W SON,Octagonal,UnderGround,229573.5,309995.235
TALLAGHT-KILNAMANAGH,M50 Redcow R/Bout-N81,Main Road,49,250W SON,Octagonal,UnderGround,229534.115,309971.703
TALLAGHT-KILNAMANAGH,M50 Redcow R/Bout-N81,Bridge,50,250W SON,Octagonal,UnderGround,229547.557,310035.099
TALLAGHT-KILNAMANAGH,M50 Redcow R/Bout-N81,Bridge,51,250W SON,Octagonal,UnderGround,229510.103,310012.045
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Bridge,52,250W SON,Octagonal,UnderGround,229523.044,310073.883
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Bridge,53,250W SON,Octagonal,UnderGround,229485.26,310051.604
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,54,250W SON,Octagonal,UnderGround,229497.371,310113.599
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,55,250W SON,Octagonal,UnderGround,229460.557,310091.807
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,56,250W SON,Octagonal,UnderGround,229475.089,310150.898
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,57,250W SON,Octagonal,UnderGround,229435.374,310131.523
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Ped. Bridge,58,250W SON,Octagonal,UnderGround,229448.936,310192.552
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Ped. Bridge,59,250W SON,Octagonal,UnderGround,229411.151,310171.725
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,60,250W SON,Octagonal,UnderGround,229423.193,310234.561
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,61,250W SON,Octagonal,UnderGround,229386.119,310212.414
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,62,250W SON,Octagonal,UnderGround,229400.08,310272.116
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,63,250W SON,Octagonal,UnderGround,229361.086,310252.377
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,64,250W SON,Octagonal,UnderGround,229375.527,310312.557
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,65,250W SON,Octagonal,UnderGround,229337.983,310291.367
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,66,250W SON,Octagonal,UnderGround,229350.495,310351.547
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,67,250W SON,Octagonal,UnderGround,229312.46,310330.852
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,68,250W SON,Octagonal,UnderGround,229324.982,310392.954
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,69,250W SON,Octagonal,UnderGround,229287.908,310371.294
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,70,250W SON,Octagonal,UnderGround,229297.449,310437.842
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,71,250W SON,Octagonal,UnderGround,229261.465,310411.802
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,72,250W SON,Octagonal,UnderGround,229272.116,310478.564
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,73,250W SON,Octagonal,UnderGround,229235.902,310453.703
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,74,250W SON,Octagonal,UnderGround,229247.253,310518.337
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,75,250W SON,Octagonal,UnderGround,229211.579,310494.079
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,76,250W SON,Octagonal,UnderGround,229221.09,310558.779
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,77,250W SON,Octagonal,UnderGround,229186.366,310533.803
TEMPLEOGUE-LIMEKILN,M50 Redcow R/Bout-N81,Main Road,78,250W SON,Octagonal,UnderGround,229196.587,310597.546
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,79,250W SON,Octagonal,UnderGround,229160.433,310573.997
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,80,250W SON,Octagonal,UnderGround,229168.284,310639.407
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,81,250W SON,Octagonal,UnderGround,229133.32,310613.721
