AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
FIRHOUSE VILLAGE,Monalea Park,Front,1,55W SOX,Octagonal,UnderGround,227279.13,311376.03
FIRHOUSE VILLAGE,Monalea Park,Front,2,55W SOXE,Octagonal,UnderGround,227219.92,311381.42
FIRHOUSE VILLAGE,Monalea Park,Opposite,3,55W SOXE,Octagonal,UnderGround,227192.15,311379.33
FIRHOUSE VILLAGE,Monalea Park,Front,4,55W SOX,Octagonal,UnderGround,227248.47,311369.41
FIRHOUSE VILLAGE,Monalea Park,Side,10,55W SOX,Octagonal,UnderGround,227297.74,311257.57
FIRHOUSE VILLAGE,Monalea Park,Opposite,11,55W SOXE,Octagonal,UnderGround,227304.39,311332.54
FIRHOUSE VILLAGE,Monalea Park,Opposite,5,55W SOXE,Octagonal,UnderGround,227175.17,311305.2
FIRHOUSE VILLAGE,Monalea Park,Front,6,55W SOX,Octagonal,UnderGround,227201.61,311298.18
FIRHOUSE VILLAGE,Monalea Park,Front,7,55W SOX,Octagonal,UnderGround,227230.28,311296.11
FIRHOUSE VILLAGE,Monalea Park,Front,8,55W SOX,Octagonal,UnderGround,227260.49,311293.2
FIRHOUSE VILLAGE,Monalea Park,Front,9,55W SOXE,Octagonal,UnderGround,227289.06,311291.14
FIRHOUSE VILLAGE,Monalea Park,Entrance,13,90W SOX,Octagonal,UnderGround,227310.18,311399.59
FIRHOUSE VILLAGE,Sally Park,Front,1,55W SOXE,Tubular Steel,UnderGround,227332.497,311217.599
FIRHOUSE VILLAGE,Sally Park,Opposite,2,55W SOXE,Tubular Steel,UnderGround,227352.28,311221.996
FIRHOUSE VILLAGE,Sally Park,Opposite,3,55W SOX,Tubular Steel,UnderGround,227420.957,311203.849
FIRHOUSE VILLAGE,Sally Park,Front,4,55W SOX,Tubular Steel,UnderGround,227401.275,311215.232
FIRHOUSE VILLAGE,Sally Park,Front,5,55W SOXE,Tubular Steel,UnderGround,227355.68,311269.399
FIRHOUSE VILLAGE,Sally Park,Opposite,6,55W SOX,Tubular Steel,UnderGround,227340.338,311239.499
RATHFARNHAM-BALLYROAN,Kilvere,Side,2,55W SOX,Tubular Steel,UnderGround,228505.25,313107.55
RATHFARNHAM-BALLYROAN,Kilvere,Side,1,70W SON,Tubular Steel,UnderGround,228438.48,313113
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Gable,1,55W SOX,Octagonal,UnderGround,229771.136,311545.987
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,2,55W SOXE,Octagonal,UnderGround,229779.164,311521.426
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,3,55W SOX,Octagonal,UnderGround,229811.799,311496.696
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,4,55W SOX,Octagonal,UnderGround,229751.988,311497.544
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,5,55W SOX,Octagonal,UnderGround,229712.545,311509.284
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,6,55W SOXE,Octagonal,UnderGround,229758.432,311525.963
TERENURE-St. JAMES,St. Peters Road,Roundabout,1,250W SON,Octagonal,UnderGround,230883.957,311136.65
TERENURE-St. JAMES,St. Peters Road,M-Road,2,250W SON,Octagonal,UnderGround,230869.636,311151.571
TERENURE-CHERRYFIELD,St. Peters Road,M-Road,3,135W SOX,Octagonal,UnderGround,230857.224,311185.472
TERENURE-St. JAMES,St. Peters Road,M-Road,4,150W SON,Octagonal,UnderGround,230841.282,311176.217
TERENURE-St. JAMES,St. Peters Road,Front,5,150W SON,Octagonal,UnderGround,230818.94,311188.978
TERENURE-St. JAMES,St. Peters Road,Front,6,150W SON,Octagonal,UnderGround,230793.037,311206.827
TERENURE-St. JAMES,St. Peters Road,Front,7,150W SON,Octagonal,UnderGround,230766.424,311225.806
TERENURE-St. JAMES,St. Peters Road,Front,8,150W SON,Octagonal,UnderGround,230739.341,311244.324
TERENURE-St. JAMES,St. Peters Road,Front,9,150W SON,Octagonal,UnderGround,230715.268,311261.456
TERENURE-St. JAMES,St. Peters Road,Front,10,150W SON,Octagonal,UnderGround,230685.645,311282.283
TERENURE-St. JAMES,St. Peters Road,Front,11,150W SON,Octagonal,UnderGround,230659.162,311299.844
TERENURE-St. JAMES,St. Peters Road,Front,12,150W SON,Octagonal,UnderGround,230637.69,311315.689
TERENURE-St. JAMES,St. Peters Road,Front,13,150W SON,Octagonal,UnderGround,230609.666,311335.922
TERENURE-St. JAMES,St. Peters Road,Front,14,150W SON,Octagonal,UnderGround,230583.343,311354.934
TERENURE-St. JAMES,St. Peters Road,Credit/Uni,15,150W SON,Octagonal,UnderGround,230560.131,311374.343
TERENURE-St. JAMES,St. Peters Road,Front,16,150W SON,Octagonal,UnderGround,230532.948,311393.446
TERENURE-St. JAMES,St. Peters Road,Front,17,150W SON,Octagonal,UnderGround,230508.605,311409.555
TERENURE-St. JAMES,St. Peters Road,Front,18,150W SON,Octagonal,UnderGround,230483.942,311427.52
TERENURE-St. JAMES,St. Peters Road,Front,19,150W SON,Octagonal,UnderGround,230459.389,311444.38
TERENURE-St. JAMES,St. Peters Road,Front,22,150W SON,Octagonal,UnderGround,230375.12,311501.013
TERENURE-CHERRYFIELD,St. Peters Road,S/O,23,150W SON,Octagonal,UnderGround,230385.551,311526.046
TERENURE-CHERRYFIELD,St. Peters Road,Opposite,24,150W SON,Octagonal,UnderGround,230366.379,311520.05
TERENURE-CHERRYFIELD,St. Peters Road,Opposite,25,150W SON,Octagonal,UnderGround,230351.167,311530.286
TERENURE-CHERRYFIELD,St. Peters Road,S/O,26,150W SON,Octagonal,UnderGround,230345.337,311552.54
TERENURE-St. JAMES,St. Peters Road,Front,27,150W SON,Octagonal,UnderGround,230347.417,311519.464
TERENURE-St. JAMES,St. Peters Road,M-Road,21,150W SON,Octagonal,UnderGround,230403.313,311482.809
TERENURE-St. JAMES,St. Peters Road,M-Road,20,150W SON,Octagonal,UnderGround,230432.296,311463.029
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,1,150W,Octagonal,UnderGround,230135.223,311659.282
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,2,150W SOND Selc Dimmable,Octagonal,UnderGround,230110.91,311675.82
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,3,150W SOND Selc Dimmable,Octagonal,UnderGround,230080.837,311695.872
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,4,150W SOND Selc Dimmable,Octagonal,UnderGround,230048.763,311718.423
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,5,150W SOND Selc Dimmable,Octagonal,UnderGround,230020.19,311738.227
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,6,150W SOND Selc Dimmable,Octagonal,UnderGround,229988.616,311761.281
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,7,150W SOND Selc Dimmable,Octagonal,UnderGround,229956.293,311785.589
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,8,150W SOND Selc Dimmable,Octagonal,UnderGround,229927.22,311809.146
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,9,150W SOND Selc Dimmable,Octagonal,UnderGround,229903.667,311830.444
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,10,150W SOND Selc Dimmable,Octagonal,UnderGround,229874.164,311857.061
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,12,150W SOND Selc Dimmable,Octagonal,UnderGround,229827.488,311905.231
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,13,150W,Octagonal,UnderGround,229801.835,311931.626
TEMPLEOGUE-LIMEKILN,Greentrees Road,Front,14,150W,Octagonal,UnderGround,229781.203,311955.159
TERENURE-GREENTREES,Greentrees Road,Front,15,250W SON,Octagonal,UnderGround,229775.3,311985.9
BALLYBODEN,Knocklyon Road,Front,26,55W SOXE,Octagonal,UnderGround,227175.09,312524.946
BALLYBODEN,Knocklyon Road,Front,27,55W SOX,Octagonal,UnderGround,227148.967,312503.336
BALLYBODEN,Knocklyon Road,Front,28,55W SOX,Octagonal,UnderGround,227124.484,312480.092
BALLYBODEN,Knocklyon Road,Side,29,55W SOX HF,Octagonal,UnderGround,227094.591,312451.866
RATHFARNHAM-BALLYROAN,Kilvere,Opposite,3,55W SOXE,Tubular Steel,UnderGround,228509.78,313054.01
RATHFARNHAM-BALLYROAN,Kilvere,Front,4,55W SOXE,Tubular Steel,UnderGround,228519.74,313079.72
RATHFARNHAM-BALLYROAN,Kilvere,Gable,5,70W SON,Tubular Steel,UnderGround,228549.89,313102.55
RATHFARNHAM-BALLYROAN,Kilvere,Side,6,70W SON,Tubular Steel,UnderGround,228581.39,313097.86
RATHFARNHAM-BALLYROAN,Kilvere,Front,7,55W SOXE,Tubular Steel,UnderGround,228578.74,313056.64
RATHFARNHAM-BALLYROAN,Kilvere,Front,8,70W SON,Tubular Steel,UnderGround,228631.12,313058.54
RATHFARNHAM-BALLYROAN,Kilvere,Front,9,70W SON,Tubular Steel,UnderGround,228599.74,313063.81
RATHFARNHAM-BALLYROAN,Kilvere,Side,10,70W SON,Tubular Steel,UnderGround,228590,313071.18
RATHFARNHAM-BALLYROAN,Kilvere,Side,11,55W SOXE,Tubular Steel,UnderGround,228596.99,313102.5
RATHFARNHAM-BALLYROAN,Kilvere,Opposite,12,55W SOX,Tubular Steel,UnderGround,228654.84,313120
RATHFARNHAM-BALLYROAN,Kilvere,Front,13,70W SON,Tubular Steel,UnderGround,228630.78,313128.78
RATHFARNHAM-BALLYROAN,Kilvere,Front,14,55W SOX,Tubular Steel,UnderGround,228601.5,313133.41
RATHFARNHAM-BALLYROAN,Kilvere,T-Junction,15,55W SOXE,Tubular Steel,UnderGround,228530.68,313113.95
RATHFARNHAM-BALLYROAN,Kilvere,Side,16,55W SOXE,Tubular Steel,UnderGround,228469.81,313119.86
TEMPLEOGUE VILLAGE,Fortrose Park,Opposite,1,55W SOXE,Octagonal,UnderGround,228956.55,313096.862
TEMPLEOGUE VILLAGE,Fortrose Park,Front,2,55W SOXE,Octagonal,UnderGround,228887.542,313071.532
TEMPLEOGUE VILLAGE,Fortrose Park,Front,3,55W SOXE,Octagonal,UnderGround,228920.326,313078.864
RATHFARNHAM-BUTTERFIELD,Fairways,Corner,1,90W SOX,Octagonal,UnderGround,228669.038,313632.18
RATHFARNHAM-BUTTERFIELD,Fairways,Opposite,2,90W SOX,Octagonal,UnderGround,228703.732,313625.491
RATHFARNHAM-BUTTERFIELD,Fairways,Opposite,3,90W SOX,Octagonal,UnderGround,228737.896,313625.466
RATHFARNHAM-BUTTERFIELD,Fairways,Opposite,4,90W SOX,Octagonal,UnderGround,228768.289,313634.622
RATHFARNHAM-BUTTERFIELD,Fairways,T.Junc,5,90W SOX,Octagonal,UnderGround,228801.223,313647.44
RATHFARNHAM-BUTTERFIELD,Fairways,Junction,6,90W SOX,Octagonal,UnderGround,228877.851,313667.556
RATHFARNHAM-BUTTERFIELD,Fairways,G.Area,7,90W SOX,Octagonal,UnderGround,228856.649,313665.66
RATHFARNHAM-BUTTERFIELD,Fairways,Entrance,8,90W SOX,Octagonal,UnderGround,228826.186,313662.65
RATHFARNHAM-BALLYROAN,Coolamber Court,Front,1,55W SOXE,Octagonal,UnderGround,227961.528,312688.198
RATHFARNHAM-BALLYROAN,Coolamber Court,Front,2,,Octagonal,UnderGround,227973.58,312741.218
RATHFARNHAM-BALLYROAN,Coolamber Court,Front,3,55W SOXE,Octagonal,UnderGround,227945.896,312753.261
RATHFARNHAM-BALLYROAN,Coolamber Court,Side,4,55W SOXE,Octagonal,UnderGround,227912.943,312766.252
RATHFARNHAM-BALLYROAN,Coolamber Court,Front,5,55W SOXE,Octagonal,UnderGround,227877.999,312696.809
RATHFARNHAM-BALLYROAN,Coolamber Court,Front,6,,Octagonal,UnderGround,227900.551,312725.678
RATHFARNHAM-BALLYROAN,Coolamber Court,Front,7,55W SOXE,Octagonal,UnderGround,227963.318,312715.013
BALLYBODEN,Elkwood,Opposite,1,55W SOXE,Octagonal,UnderGround,227721.37,313154.24
BALLYBODEN,Elkwood,Opp.Gable,2,55W SOX,Octagonal,UnderGround,227743.88,313075.59
BALLYBODEN,Elkwood,Opposite,3,55W SOX HF,Octagonal,UnderGround,227763.73,313076.72
BALLYBODEN,Elkwood,Front,4,55W SOX,Tubular Steel,UnderGround,227823.12,313055.29
BALLYBODEN,Elkwood,Front,5,55W SOXE,Octagonal,UnderGround,227813.72,313091.01
BALLYBODEN,Elkwood,Front,6,55W SOXE,Octagonal,UnderGround,227780.21,313091
BALLYBODEN,Elkwood,Front,7,55W SOX,Octagonal,UnderGround,227735.63,313121.82
BALLYBODEN,Elkwood,Gable,8,55W SOX,Octagonal,UnderGround,227742.23,313160.82
BALLYBODEN,Elkwood,Front,9,55W SOX,Octagonal,UnderGround,227808.82,313147.1
BALLYBODEN,Elkwood,Front,10,55W SOXE,Octagonal,UnderGround,227793.98,313178.94
BALLYBODEN,Elkwood,Front,11,55W SOX,Octagonal,UnderGround,227781.9,313214.12
BALLYBODEN,Elkwood,Front,12,55W SOXE,Octagonal,UnderGround,227762.02,313225.13
BALLYBODEN,Elkwood,Front,13,55W SOX,Octagonal,UnderGround,227725.83,313229.52
BALLYBODEN,Elkwood,Gable,14,55W SOX,Octagonal,UnderGround,227770.83,313183.89
BALLYBODEN,Elkwood,Front,15,55W SOXE,Octagonal,UnderGround,227708.73,313193.78
BALLYBODEN,Scholarstown Park,Side,1,55W SOXE,Octagonal,UnderGround,226761.23,312716.17
BALLYBODEN,Scholarstown Park,Front,2,55W SOX,Octagonal,UnderGround,226794.57,312704.57
BALLYBODEN,Scholarstown Park,Front,3,55W SOX,Octagonal,UnderGround,226835.27,312707.01
BALLYBODEN,Scholarstown Park,Front,4,55W SOXE,Octagonal,UnderGround,226876.86,312709.76
BALLYBODEN,Scholarstown Park,Opposite,6,55W SOX,Octagonal,UnderGround,227002.02,312706.07
BALLYBODEN,Scholarstown Park,Front,7,55W SOXE,Octagonal,UnderGround,226960.09,312712.8
BALLYBODEN,Scholarstown Park,Front,8,55W SOX HF,Octagonal,UnderGround,226918.22,312716.79
BALLYBODEN,Scholarstown Park,Front,9,55W SOX,Octagonal,UnderGround,226851.21,312721.98
BALLYBODEN,Scholarstown Park,Front,10,55W SOXE,Octagonal,UnderGround,226897.22,312789.48
BALLYBODEN,Scholarstown Park,Front,11,55W SOX,Octagonal,UnderGround,226854.83,312766.87
BALLYBODEN,Scholarstown Park,Front,13,55W SOX,Octagonal,UnderGround,226792.29,312796.3
FIRHOUSE-KNOCKLYON,Woodstock Park,Front,1,55W SOXE,Octagonal,UnderGround,227298.204,312629.222
FIRHOUSE-KNOCKLYON,Woodstock Park,Opposite,2,55W SOXE,Tubular Steel,UnderGround,227267.4,312594.876
FIRHOUSE-KNOCKLYON,Woodstock Park,Front,3,55W SOX,Tubular Steel,UnderGround,227256.389,312559.721
FIRHOUSE-KNOCKLYON,Woodstock Park,Front,4,55W SOXE,Tubular Steel,UnderGround,227284.822,312548.495
BALLYBODEN,The Rookery,Entrance,,55W SOXE,Tubular Steel,UnderGround,226959.06,312249.17
BALLYBODEN,The Rookery,Front,3,55W SOXE,Tubular Steel,UnderGround,226961.05,312295.83
BALLYBODEN,The Rookery,Front,4,55W SOXE,Tubular Steel,UnderGround,226962.03,312323.36
BALLYBODEN,The Rookery,Front,5,55W SOX HF,Tubular Steel,UnderGround,226940.03,312343.76
BALLYBODEN,The Rookery,Front,6,55W SOXE,Octagonal,UnderGround,226906.2,312335.49
TERENURE-CHERRYFIELD,Quarry Drive,Entrance,1,55W SOXE,Octagonal,UnderGround,230532.248,312000.838
TERENURE-CHERRYFIELD,Quarry Drive,Entrance,2,55W SOX,Tubular Steel,UnderGround,230539.058,311973.536
TERENURE-CHERRYFIELD,Quarry Drive,Front,3,55W SOX,Tubular Steel,UnderGround,230527.137,311930.546
TERENURE-CHERRYFIELD,Quarry Drive,Laneway,4,55W SOXE,Tubular Steel,UnderGround,230490.893,311913.141
TERENURE-CHERRYFIELD,Quarry Drive,Front,5,55W SOXE,Tubular Steel,UnderGround,230514.886,311897.098
TERENURE-CHERRYFIELD,Quarry Drive,Front,6,55W SOXE,Octagonal,UnderGround,230503.534,311854.1
TERENURE-CHERRYFIELD,Quarry Drive,Laneway,7,55W SOXE,Tubular Steel,UnderGround,230479.002,311847.806
TERENURE-GREENTREES,Roebuck Drive,Opposite,1,55W SOXE,Octagonal,UnderGround,230655.071,312153.16
TERENURE-GREENTREES,Roebuck Drive,Front,2,55W SOX,Tubular Steel,UnderGround,230672.003,312177.031
TERENURE-GREENTREES,Roebuck Drive,Opposite,3,55W SOXE,Tubular Steel,UnderGround,230654.011,312207.121
TERENURE-GREENTREES,Roebuck Drive,Front,4,55W SOXE,Octagonal,UnderGround,230629.599,312191.96
TERENURE-GREENTREES,Roebuck Drive,Laneway,5,55W SOXE,Tubular Steel,UnderGround,230611.447,312159.05
TERENURE-GREENTREES,Roebuck Drive,Front,6,55W SOXE,Tubular Steel,UnderGround,230637.87,312160.229
TERENURE-GREENTREES,Roebuck Drive,Laneway,7,55W SOXE,Tubular Steel,UnderGround,230620.528,312133.298
FIRHOUSE-BALLYCULLEN,Orlagh Park,Font,2,55W SOX,Tubular Steel,UnderGround,226724.899,312129.71
FIRHOUSE-BALLYCULLEN,Orlagh Park,Front,3,55W SOXE,Tubular Steel,UnderGround,226755.712,312118.913
FIRHOUSE-BALLYCULLEN,Orlagh Park,Front,4,55W SOX,Tubular Steel,UnderGround,226781.645,312109.361
FIRHOUSE-BALLYCULLEN,Orlagh Park,Front,5,55W SOXE,Tubular Steel,UnderGround,226802.818,312100.709
FIRHOUSE-BALLYCULLEN,Orlagh Park,Opposite,1,55W SOXE,Tubular Steel,UnderGround,226818.359,312122.361
FIRHOUSE-KNOCKLYON,Green Acre Court,Front,1,55W SOX,Octagonal,UnderGround,227806.79,312152.69
FIRHOUSE-KNOCKLYON,Green Acre Court,Front,6,55W SOXE,Octagonal,UnderGround,227785.04,312141.79
FIRHOUSE-KNOCKLYON,Green Acre Court,Front,2,55W SOX HF,Octagonal,UnderGround,227760.72,312148.69
FIRHOUSE-KNOCKLYON,Green Acre Court,Front,3,55W SOXE,Octagonal,UnderGround,227748.91,312115.42
FIRHOUSE-KNOCKLYON,Green Acre Court,Front,4,55W SOX,Octagonal,UnderGround,227743.93,312074.04
FIRHOUSE-KNOCKLYON,Green Acre Court,Front,5,55W SOXE,Octagonal,UnderGround,227784.04,312051.88
FIRHOUSE-KNOCKLYON,Mount Alton,Front,1,55W SOXE,Octagonal,UnderGround,227151.54,311964.81
FIRHOUSE-KNOCKLYON,Mount Alton,Front,2,55W SOX,Octagonal,UnderGround,227208.37,311919.57
FIRHOUSE-KNOCKLYON,Mount Alton,Front,3,,Octagonal,UnderGround,227208.36,311890.88
FIRHOUSE-KNOCKLYON,Mount Alton,Front,4,55W SOX,Octagonal,UnderGround,227216.58,311951.54
FIRHOUSE-KNOCKLYON,Mount Alton,Opposite,5,55W SOXE,Octagonal,UnderGround,227302.36,311911.23
FIRHOUSE-KNOCKLYON,Mount Alton,Front,6,55W SOX,Tubular Steel,UnderGround,227305.91,311934.5
FIRHOUSE-KNOCKLYON,Mount Alton,Pathway,7,URBIS AXIA 16 LED NEUT WHITE 500mA 3.2 FLUX,Raising/Lowering,UnderGround,227366.32,311946.96
FIRHOUSE-KNOCKLYON,Mount Alton,Front,8,55W SOXE,Octagonal,UnderGround,227339.22,311945.06
FIRHOUSE-KNOCKLYON,Mount Alton,T-Junc,9,55W SOXE,Tubular Steel,UnderGround,227297.74,311984.86
FIRHOUSE-KNOCKLYON,Mount Alton,Front,10,55W SOXE,Tubular Steel,UnderGround,227301.01,312019.54
FIRHOUSE-KNOCKLYON,Mount Alton,Front,12,55W SOXE,Tubular Steel,UnderGround,227335.41,312029.27
FIRHOUSE-KNOCKLYON,Mount Alton,Front,13,55W SOXE,Tubular Steel,UnderGround,227285.9,312025.77
FIRHOUSE-KNOCKLYON,Coolamber Park,Opposite,1,55W SOXE,Octagonal,UnderGround,227773.657,312664.269
FIRHOUSE-KNOCKLYON,Coolamber Park,Opposite,2,55W SOXE,Octagonal,UnderGround,227753.185,312636.472
FIRHOUSE-KNOCKLYON,Coolamber Park,Opposite,3,55W SOXE,Tubular Steel,UnderGround,227731.912,312607.422
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,4,55W SOX,Octagonal,UnderGround,227705.789,312581.481
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,5,55W SOX,Octagonal,UnderGround,227681.047,312584.73
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,6,55W SOX,Octagonal,UnderGround,227653.273,312610.482
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,7,55W SOXE,Octagonal,UnderGround,227577.995,312633.742
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,8,55W SOX,Octagonal,UnderGround,227607.048,312614.771
FIRHOUSE-KNOCKLYON,Coolamber Park,Gable,9,55W SOX,Octagonal,UnderGround,227635.832,312597.878
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,10,55W SOX,Octagonal,UnderGround,227630.551,312572.449
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,11,55W SOX,Octagonal,UnderGround,227599.157,312558.649
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,12,55W SOX,Octagonal,UnderGround,227561.853,312548.586
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,13,55W SOX,Octagonal,UnderGround,227495.816,312571.97
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,14,55W SOXE,Octagonal,UnderGround,227433.339,312594.463
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,15,55W SOXE,Octagonal,UnderGround,227466.672,312572.317
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,16,55W SOXE,Octagonal,UnderGround,227529.17,312550.64
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,17,55W SOXE,Octagonal,UnderGround,227573.915,312527.091
FIRHOUSE-KNOCKLYON,Coolamber Park,Gable,18,55W SOXE,Octagonal,UnderGround,227550.242,312495.17
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,19,55W SOXE,Octagonal,UnderGround,227506.837,312491.59
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,20,55W SOX,Octagonal,UnderGround,227442.41,312511.246
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,21,55W SOXE,Octagonal,UnderGround,227409.246,312521.639
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,22,55W SOXE,Octagonal,UnderGround,227379.303,312549.972
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,23,55W SOX,Octagonal,UnderGround,227386.753,312582.347
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,24,55W SOXE,Octagonal,UnderGround,227390.174,312604.881
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,25,55W SOXE,Octagonal,UnderGround,227362.401,312616.619
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,26,55W SOXE,Octagonal,UnderGround,227332.147,312622.937
FIRHOUSE-KNOCKLYON,Coolamber Park,Gable,27,55W SOXE,Octagonal,UnderGround,227368.201,312532.221
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,28,55W SOX,Octagonal,UnderGround,227470.873,312491.103
FIRHOUSE-KNOCKLYON,Coolamber Park,Front,29,55W SOXE,Raising/Lowering,UnderGround,227536.77,312471.67
FIRHOUSE-KNOCKLYON,Knockaire,Opposite,1,55W SOX,Octagonal,UnderGround,227186.031,312510.339
FIRHOUSE-KNOCKLYON,Knockaire,Opposite,2,55W SOX,Octagonal,UnderGround,227214.024,312490.617
FIRHOUSE-KNOCKLYON,Knockaire,Front,3,55W SOX,Octagonal,UnderGround,227219.635,312474.071
FIRHOUSE-KNOCKLYON,Knockaire,Opposite,4,55W SOX,Octagonal,UnderGround,227183.761,312420.753
FIRHOUSE-KNOCKLYON,Knockaire,Front,5,55W SOXE,Octagonal,UnderGround,227126.894,312393.195
FIRHOUSE-KNOCKLYON,Knockaire,Front,7,55W SOXE,Octagonal,UnderGround,227170.659,312389.64
FIRHOUSE-KNOCKLYON,Knockaire,Front,8,55W SOX,Octagonal,UnderGround,227212.624,312445.49
FIRHOUSE-KNOCKLYON,Knockaire,Opposite,9,55W SOX,Octagonal,UnderGround,227269.11,312475.308
FIRHOUSE-KNOCKLYON,Knockaire,Front,10,55W SOX,Octagonal,UnderGround,227291.093,312453.912
FIRHOUSE-KNOCKLYON,Knockaire,Front,11,55W SOXE,Octagonal,UnderGround,227270.87,312422.832
FIRHOUSE-KNOCKLYON,Knockaire,Opposite,12,55W SOXE,Octagonal,UnderGround,227334.738,312468.833
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Opposite,,55W SOX,Concrete Pillar,UnderGround,228813.624,314235.687
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Opposite,,55W SOXE,Concrete Pillar,UnderGround,228787.825,314279.401
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Opposite,,55W SOX HF,Concrete Pillar,UnderGround,228758.275,314291.101
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Opposite,,55W SOXE,Concrete Pillar,UnderGround,228722.944,314270.479
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Opposite,,55W SOXE,Concrete Pillar,UnderGround,228641.565,314289.508
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Front,,55W SOX,Concrete Pillar,UnderGround,228662.067,314274.7
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Front,,55W SOXE,Concrete Pillar,UnderGround,228691.52,314255.425
RATHFARNHAM-BUTTERFIELD,Owendore Crescent,Entrance,,55W SOXE,Concrete Pillar,UnderGround,228822.325,314204.401
RATHFARNHAM VILLAGE,Rathfarnham Wood,Gable,1,55W SOXE,Octagonal,UnderGround,228532.012,314690.336
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,2,55W SOX,Octagonal,UnderGround,228576.147,314671.151
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,3,55W SOXE,Octagonal,UnderGround,228594.429,314649.16
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,4,55W SOX,Octagonal,UnderGround,228604.181,314614.501
RATHFARNHAM VILLAGE,Rathfarnham Wood,Side,5,55W SOXE,Octagonal,UnderGround,228627.343,314587.067
RATHFARNHAM VILLAGE,Rathfarnham Wood,Gable,6,55W SOX,Octagonal,UnderGround,228653.476,314608.991
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,7,55W SOXE,Octagonal,UnderGround,228688.77,314608.999
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,8,55W SOXE,Octagonal,UnderGround,228677.289,314622.419
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,9,55W SOX HF,Octagonal,UnderGround,228682.089,314646.117
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,10,55W SOX,Octagonal,UnderGround,228715.003,314662.597
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,11,55W SOX HF,Octagonal,UnderGround,228752.137,314674.78
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,12,55W SOX,Octagonal,UnderGround,228664.467,314654.076
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,13,55W SOXE,Octagonal,UnderGround,228652.876,314676.57
RATHFARNHAM VILLAGE,Rathfarnham Wood,Gable,14,55W SOXE,Octagonal,UnderGround,228660.047,314712.532
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,15,55W SOXE,Octagonal,UnderGround,228722.324,314739.933
RATHFARNHAM VILLAGE,Rathfarnham Wood,Front,16,55W SOXE,Octagonal,UnderGround,228745.486,314754.583
